ID	X_x	Y_x	Z_x	X_y	Y_y	Z_y	Distances	Velocity
481	2628815.501	1104504.11	2861.379	2628815.501	1104504.11	2861.379	0.0	0.0
482	2628808.049	1104498.536	2858.835	2628807.957	1104498.196	2858.796	0.3543797399540716	0.02531283856814795
524	2628827.11	1104516.706	2861.052	2628828.09	1104516.838	2861.53	1.0983205360727482	0.07845146686233916
525	2628816.348	1104510.171	2857.105	2628816.348	1104510.171	2857.105	0.0	0.0
526	2628801.694	1104505.464	2852.221	2628801.991	1104505.677	2852.445	0.4286653705038231	0.03061895503598735
568	2628829.827	1104524.165	2857.173	2628829.422	1104524.02	2856.996	0.4651655621566501	0.03322611158261785
569	2628812.293	1104517.142	2851.609	2628812.486	1104517.085	2851.819	0.2908573533399303	0.02077552523856645
570	2628807.198	1104510.768	2850.132	2628806.984	1104510.661	2850.056	0.2510398371426112	0.0179314169387579
612	2628842.025	1104532.754	2855.657	2628841.544	1104532.752	2855.346	0.5727879185975737	0.04091342275696955
613	2628814.147	1104523.421	2847.605	2628814.147	1104523.421	2847.605	0.0	0.0
614	2628805.93	1104517.145	2845.013	2628805.673	1104517.146	2844.789	0.3409193454628066	0.0243513818187719
654	2628865.389	1104558.522	2855.899	2628865.7	1104558.18	2856.195	0.548908917999319	0.0392077798570942
657	2628819.269	1104530.21	2843.805	2628818.333	1104530.146	2842.827	1.355240199942667	0.0968028714244762
658	2628803.857	1104523.29	2840.029	2628802.355	1104523.332	2839.227	1.7032240015857305	0.12165885725612355
659	2628797.378	1104517.554	2838.315	2628797.285	1104517.665	2838.07	0.2845962051477915	0.02032830036769935
699	2628864.485	1104559.886	2851.785	2628864.392	1104560.038	2852.407	0.6470216379519865	0.04621583128228475
700	2628854.818	1104549.222	2847.133	2628855.103	1104549.246	2847.344	0.3554180638120067	0.02538700455800045
701	2628820.463	1104538.022	2839.687	2628820.301	1104537.974	2839.294	0.4277814863003615	0.0305558204500258
702	2628807.848	1104529.745	2836.909	2628807.699	1104529.79	2836.663	0.291104792223537	0.02079319944453835
703	2628797.618	1104523.649	2833.581	2628785.964	1104523.374	2831.045	11.929905154331824	0.8521360824522731
743	2628861.726	1104569.145	2840.898	2628861.105	1104569.231	2840.45	0.7705459102130503	0.05503899358664645
744	2628853.97	1104558.194	2842.258	2628853.989	1104558.261	2842.478	0.2307596151839239	0.01648282965599455
745	2628825.277	1104545.397	2835.261	2628820.934	1104544.831	2834.176	4.512120344035004	0.3222943102882146
746	2628818.109	1104537.827	2833.925	2628817.797	1104537.84	2833.42	0.5937491054649785	0.0424106503903556
747	2628797.118	1104528.743	2829.483	2628797.093	1104528.866	2829.361	0.1750371388364407	0.01250265277403145
787	2628868.747	1104578.893	2838.609	2628860.295	1104576.474	2836.5	9.04078237769228	0.6457701698351629
788	2628850.54	1104565.659	2834.535	2628850.509	1104565.453	2834.521	0.2087893675447873	0.01491352625319905
789	2628830.857	1104553.891	2830.212	2628831.012	1104554.253	2830.118	0.4048518248140001	0.02891798748671425
790	2628817.382	1104543.995	2828.787	2628817.057	1104543.888	2828.599	0.3904074796123687	0.0278862485437406
