ID	X_x	Y_x	Z_x	X_y	Y_y	Z_y	Distances	Velocity
1240	2628546.61	1104879.115	2557.8511	2628545.861	1104880.206	2557.062	1.5407663060266192	0.220109472289517
1241	2628511.972	1104876.756	2546.6121	2628512.6949	1104879.026	2545.751	2.533175402531416	0.3618822003616308
1286	2628540.347	1104901.545	2545.2451	2628539.334	1104902.84	2544.125	1.9894265532946132	0.2842037933278019
1287	2628515.162	1104903.51	2540.0701	2628515.765	1104904.779	2539.5071	1.5135848176980595	0.2162264025282942
1288	2628470.517	1104879.151	2527.6531	2628471.858	1104880.168	2528.2361	1.7811398036159058	0.2544485433737008
1289	2628446.162	1104880.576	2522.4761	2628446.2729	1104880.222	2522.77	0.4732779520703959	0.0676111360100565
1332	2628535.405	1104918.175	2533.3459	2628534.688	1104918.43	2532.5459	1.1041349553071975	0.1577335650438854
1333	2628516.454	1104925.492	2529.468	2628515.843	1104926.109	2528.9041	1.0353710493629773	0.1479101499089967
1334	2628470.359	1104913.778	2513.7339	2628470.354	1104915.363	2513.0381	1.7310076949237965	0.2472868135605423
1378	2628527.552	1104933.287	2521.7781	2628527.3781	1104933.931	2521.2271	0.8652041436631751	0.1236005919518821
1379	2628500.522	1104937.84	2513.958	2628499.954	1104938.832	2513.3911	1.275955959143769	0.1822794227348241
1380	2628466.09	1104934.374	2502.7209	2628465.799	1104935.227	2502.635	0.9053556260675436	0.1293365180096491
1423	2628567.589	1104951.59	2530.8921	2628572.0129	1104954.294	2532.6431	5.472523020318902	0.7817890029027003
1424	2628523.24	1104955.11	2512.968	2628522.24	1104955.436	2511.9519	1.462441523591404	0.2089202176559148
1425	2628497.692	1104957.89	2505.5569	2628496.682	1104958.054	2504.8479	1.2448602329511058	0.1778371761358722
1426	2628457.8979	1104950.266	2489.657	2628460.899	1104953.259	2490.4741	4.316515101336282	0.6166450144766118
1470	2628526.626	1104968.001	2506.9319	2628526.626	1104968.068	2506.7781	0.1677600667776924	0.0239657238253846
1471	2628492.924	1104976.906	2495.124	2628493.074	1104977.572	2494.957	0.7028122081536822	0.1004017440219545
1472	2628452.86	1104969.393	2477.7019	2628452.488	1104970.361	2477.176	1.1627462363703676	0.1661066051957667
1516	2628523.7271	1104989.145	2498.199	2628523.7271	1104989.145	2498.199	0.0	0.0
1517	2628491.672	1104998.533	2484.074	2628491.229	1104998.973	2483.5601	0.8086669338635905	0.1155238476947986
1518	2628446.35	1104986.613	2468.1809	2628447.059	1104987.314	2467.949	1.0236501403698235	0.1462357343385462
1562	2628514.908	1105004.291	2485.9309	2628515.2371	1105004.399	2485.7891	0.3742700230280459	0.0534671461468637
1563	2628483.272	1105008.991	2473.1479	2628483.525	1105009.109	2472.7461	0.48926091200629	0.0698944160008985
1564	2628437.062	1105001.781	2455.76	2628436.459	1105001.759	2455.7439	0.6036159458948464	0.0862308494135494
1608	2628504.666	1105020.164	2472.375	2628504.85	1105019.864	2472.6621	0.4541832339355877	0.0648833191336553
1609	2628466.729	1105022.49	2457.543	2628466.408	1105023.041	2457.302	0.6817059483186059	0.0973865640455151
1610	2628426.131	1105016.457	2442.6641	2628426.163	1105016.826	2442.498	0.4059238967705028	0.0579891281100718
1654	2628488.431	1105031.335	2456.1709	2628487.869	1105030.971	2456.5229	0.756468109011329	0.1080668727159041
1655	2628451.209	1105034.35	2444.5559	2628450.575	1105033.575	2445.0139	1.1010653930286556	0.1572950561469508
1656	2628419.767	1105031.438	2430.6221	2628419.767	1105031.438	2430.6221	0.0	0.0
1700	2628482.0601	1105046.417	2444.8279	2628479.48	1105044.938	2443.897	3.116236804058459	0.4451766862940656
1701	2628453.27	1105051.665	2432.1621	2628455.8621	1105052.214	2433.426	2.9356134997504872	0.4193733571072124
1702	2628413.461	1105050.09	2418.22	2628413.31	1105049.854	2418.397	0.3314000604062232	0.0473428657723176
1746	2628466.311	1105061.673	2427.793	2628466.311	1105061.673	2427.793	0.0	0.0
1747	2628440.186	1105064.681	2417.3311	2628441.578	1105063.988	2417.8999	1.6557313913375764	0.236533055905368
1792	2628464.525	1105079.358	2419.3521	2628463.697	1105078.346	2419.0149	1.3503450817445075	0.1929064402492153
1793	2628424.0291	1105078.904	2401.0291	2628424.396	1105079.057	2401.032	0.3975336717399005	0.0567905245342715
